Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Dell,Notebook,8,2.8,3260.07,0,1,213149.14,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,1627.3377,0,0,119661.8,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,2927.07,0,0,236376.92,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,1295.37,0,0,236376.92,Intel Core i3,1000,0,Intel,Linux/Others/No OS
Dell,Gaming,16,2.65,4991.67,0,1,236376.92,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,1741.5567,0,0,119661.8,Intel Core i5,1000,0,Nvidia,Linux/Others/No OS
Acer,Notebook,4,2.2,2271.06,0,1,236376.92,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,3326.67,1,0,213149.14,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,4725.2699999999995,0,1,492872.2,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,1228.77,0,0,119661.8,Intel Core i3,0,128,Intel,Linux/Others/No OS
Asus,Gaming,8,3.2,4325.67,0,0,213149.14,AMD cpu,1000,256,AMD,Windows
Dell,Notebook,4,2.3,2127.87,0,0,236376.92,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,1551.78,0,0,107903.125,Other Intel cpu,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,1062.27,1,1,365108.9,Other Intel cpu,0,0,Intel,Linux/Others/No OS
Acer,Notebook,8,2.2,2800.53,0,1,236376.92,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,1326.9717,0,0,236376.92,AMD cpu,0,256,AMD,Windows
HP,Notebook,8,1.49,3672.99,0,0,277254.12,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,1278.72,0,0,119661.8,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,2556.774,0,0,236376.92,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,1461.87,0,0,236376.92,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,1952.0127000000002,0,0,119661.8,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,8155.17,0,0,213149.14,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,1381.95,0,0,236376.92,Intel Core i3,0,256,Intel,Linux/Others/No OS
Dell,Notebook,16,2.8,4325.67,0,0,213149.14,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,2927.07,0,0,263391.44,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,1994.67,0,1,263391.44,Intel Core i3,0,256,Intel,Linux/Others/No OS
Asus,Notebook,8,1.4,3133.53,0,0,263391.44,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,2297.7,0,0,236376.92,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,6603.39,0,0,236376.92,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,1460.8377,0,0,119661.8,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,762.57,0,0,133337.42,Other Intel cpu,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,1828.17,0,0,236376.92,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,3160.17,0,0,213149.14,Intel Core i7,1000,0,Nvidia,Linux/Others/No OS
Microsoft,Ultrabook,4,1.252,3626.37,1,0,377114.06,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,3180.15,0,1,277254.12,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,2897.1,0,0,236376.92,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,3646.35,0,0,213149.14,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,1295.37,0,0,133337.42,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,3160.17,0,0,236376.92,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,1728.27,0,0,236376.92,Intel Core i5,2000,0,Intel,Linux/Others/No OS
Dell,Notebook,8,2.02,2847.15,0,0,236376.92,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,1764.9,0,0,236376.92,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,3253.41,0,0,213149.14,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,3650.2128,0,1,236376.92,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,5028.3,0,1,442488.0,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,2863.8,0,0,263391.44,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,1328.67,0,0,236376.92,AMD cpu,0,128,AMD,Windows
Acer,Notebook,4,2.1,1315.35,0,0,119661.8,AMD cpu,1000,0,AMD,Windows
Dell,Gaming,16,2.65,4492.17,0,1,236376.92,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,2327.67,0,1,236376.92,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,1994.6367,0,0,236376.92,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,4825.17,0,1,236376.92,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,5491.17,0,1,277254.12,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,2327.67,0,0,236376.92,AMD cpu,1000,0,AMD,Windows
Acer,Notebook,8,2.2,2294.37,0,0,236376.92,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,3986.01,0,0,277254.12,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,3979.35,0,0,236376.92,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,3493.17,0,0,263391.44,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,2820.51,1,1,277254.12,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,1997.667,0,0,236376.92,Intel Core i7,1000,0,AMD,Linux/Others/No OS
Dell,Notebook,4,2.2,1615.05,0,0,236376.92,Intel Core i3,0,256,AMD,Linux/Others/No OS
Asus,Notebook,6,2.0,1921.41,0,0,236376.92,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,4159.17,0,1,236376.92,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,2394.27,0,0,236376.92,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,1162.17,0,0,236376.92,AMD cpu,500,0,AMD,Windows
Dell,Notebook,8,2.2,2154.51,0,0,236376.92,Intel Core i5,1000,0,AMD,Linux/Others/No OS
HP,Ultrabook,8,1.38,3726.27,0,1,277254.12,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,4462.2,1,0,377114.06,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,2194.47,0,1,263391.44,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,1381.617,0,0,236376.92,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,3972.69,0,1,263391.44,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,4325.67,0,0,236376.92,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,4928.4,0,1,263391.44,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,4202.46,0,0,236376.92,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,4592.07,1,0,770060.1,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,4658.67,1,1,277254.12,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,2404.26,0,1,133337.42,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,5424.57,0,1,277254.12,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,4658.6367,1,1,277254.12,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,3609.72,0,0,263391.44,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,3763.9988999999996,0,1,236376.92,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2.0,1878.12,0,0,213149.14,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,3722.94,0,0,236376.92,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,1595.07,1,1,236376.92,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,7464.195,0,0,236376.92,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,2094.5699999999997,0,0,236376.92,Intel Core i5,0,256,Nvidia,Linux/Others/No OS
HP,Notebook,16,2.5,4232.43,0,0,213149.14,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,1501.83,0,0,119661.8,AMD cpu,0,256,AMD,Windows
HP,Notebook,4,1.86,862.47,0,0,119661.8,Other Intel cpu,500,0,Intel,Linux/Others/No OS
HP,Notebook,8,1.63,2703.96,0,0,263391.44,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,925.7067,0,0,133337.42,AMD cpu,0,64,AMD,Windows
Dell,Notebook,16,2.8,4648.679999999999,0,0,213149.14,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,3090.24,0,0,213149.14,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,2127.8367,0,0,119661.8,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,1495.17,0,0,236376.92,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,2943.72,0,1,263391.44,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,1904.76,0,0,236376.92,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,1991.34,0,0,119661.8,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,3290.04,0,0,263391.44,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,840.3588,0,0,119661.8,Other Intel cpu,1000,0,Intel,Linux/Others/No OS
Asus,Gaming,8,3.0,3123.54,0,0,213149.14,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,1661.67,0,0,236376.92,Intel Core i5,1000,0,Nvidia,Linux/Others/No OS
HP,Notebook,4,1.32,2327.67,0,1,277254.12,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,2181.15,0,1,213149.14,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,3716.3466,0,1,263391.44,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,2893.77,0,1,236376.92,Intel Core i7,0,256,Nvidia,Linux/Others/No OS
Toshiba,Notebook,4,2.1,2004.66,0,0,119661.8,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,1228.77,0,0,119661.8,AMD cpu,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,3659.67,0,0,263391.44,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,6706.62,1,1,1179820.8,Other Intel cpu,0,512,Intel,Windows
Asus,Notebook,4,2.0,1145.52,0,0,236376.92,Other Intel cpu,1000,0,Intel,Windows
MSI,Gaming,16,2.9,6756.57,0,0,213149.14,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,1488.51,0,0,119661.8,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,4160.0358,0,0,236376.92,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,2993.67,0,0,236376.92,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,1658.34,0,0,119661.8,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,6293.7,0,0,213149.14,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,3603.06,0,0,263391.44,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,2061.27,0,0,236376.92,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,2094.5699999999997,1,1,263391.44,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,4378.95,1,0,277254.12,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,3493.17,1,0,236376.92,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,1488.51,0,0,119661.8,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,1341.99,0,0,119661.8,AMD cpu,1000,0,AMD,Windows
Acer,Notebook,4,3.0,2680.65,0,1,213149.14,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,2424.24,0,0,236376.92,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,3593.07,0,1,236376.92,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,1158.84,0,0,119661.8,Other Intel cpu,1000,0,Intel,Windows
MSI,Gaming,16,2.4,5990.67,0,1,236376.92,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,1210.4883,0,0,119661.8,Other Intel cpu,1000,0,Intel,Windows
Dell,Gaming,8,2.56,3531.4317,0,0,236376.92,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3.0,2843.82,0,1,213149.14,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,2510.82,0,1,277254.12,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,4492.17,0,1,359003.06,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,2327.67,0,1,213149.14,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,1028.97,0,0,119661.8,AMD cpu,500,0,AMD,Linux/Others/No OS
Toshiba,Notebook,4,2.0,1628.37,0,0,119661.8,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,3073.59,0,0,213149.14,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,1528.47,0,0,119661.8,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,1495.17,0,0,119661.8,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,9320.67,0,0,200406.52,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,2707.29,0,0,236376.92,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,4991.67,1,1,1108854.1,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,3493.17,0,0,236376.92,Intel Core i7,2000,256,AMD,Linux/Others/No OS
Dell,Ultrabook,8,1.23,4658.67,0,0,277254.12,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,6157.17,1,1,1060989.9,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,2640.69,0,0,119661.8,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,3992.67,0,1,236376.92,Intel Core i5,0,256,Nvidia,Linux/Others/No OS
Dell,Notebook,16,2.77,5158.17,1,0,213149.14,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,7982.01,1,0,945369.25,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,2594.07,0,1,236376.92,Intel Core i5,0,256,Nvidia,Linux/Others/No OS
Acer,Ultrabook,8,1.12,3293.37,0,1,277254.12,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,3613.05,0,0,213149.14,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,9403.92,1,0,468217.16,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,865.8,0,1,263391.44,Other Intel cpu,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,3329.6669999999995,0,1,277254.12,Intel Core i5,0,256,Nvidia,Linux/Others/No OS
Lenovo,Notebook,8,2.8,2324.34,0,0,148028.9,Intel Core i5,0,256,Nvidia,Linux/Others/No OS
Dell,2 in 1 Convertible,8,1.62,2793.87,1,1,277254.12,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,3043.62,0,1,213149.14,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,20309.67,1,0,852471.7,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,3193.47,0,0,277254.12,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,4592.07,0,1,213149.14,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,3479.85,0,0,213149.14,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,6143.85,0,1,945369.25,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,1641.69,0,0,119661.8,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,2470.86,0,0,236376.92,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,5824.17,0,1,236376.92,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,10173.15,0,0,945369.25,Other Intel cpu,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,4655.34,0,0,236376.92,Intel Core i7,0,512,Nvidia,Linux/Others/No OS
Dell,Notebook,6,2.3,1461.87,1,0,119661.8,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,6490.17,1,1,1108854.1,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,4825.17,0,0,277254.12,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,1988.01,0,0,119661.8,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,2594.07,0,0,236376.92,Intel Core i7,1000,0,Nvidia,Linux/Others/No OS
Asus,Gaming,16,2.9,4685.3099999999995,0,0,213149.14,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,1162.17,0,0,236376.92,Intel Core i3,500,0,Intel,Linux/Others/No OS
Lenovo,Notebook,8,2.2,1828.17,0,0,236376.92,Intel Core i5,0,256,Intel,Linux/Others/No OS
Huawei,Ultrabook,8,1.05,4991.67,0,1,359003.06,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,3103.1604,0,1,277254.12,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,1961.37,0,0,148028.9,Intel Core i5,1000,0,Nvidia,Linux/Others/No OS
HP,Notebook,8,1.63,3433.23,0,0,263391.44,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,3826.17,0,0,263391.44,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,4259.07,1,0,277254.12,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,2255.5755,0,0,236376.92,Intel Core i5,0,256,AMD,Linux/Others/No OS
Lenovo,2 in 1 Convertible,8,1.74,2993.67,0,1,263391.44,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,4538.79,0,0,277254.12,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,2644.02,0,0,236376.92,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,8179.6122,0,1,213149.14,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,2770.56,0,0,236376.92,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,2860.5033,1,0,236376.92,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,2560.77,0,0,236376.92,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,2967.03,0,0,213149.14,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,4225.7699999999995,0,0,236376.92,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,1328.6367,0,0,119661.8,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,1098.8999999999999,0,0,119661.8,AMD cpu,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,4991.67,0,1,236376.92,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,2860.47,0,0,263391.44,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,2294.37,1,1,277254.12,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,2993.67,0,0,236376.92,Intel Core i7,0,256,AMD,Linux/Others/No OS
Acer,Notebook,4,2.1,1298.7,0,0,119661.8,Intel Core i3,1000,0,Intel,Linux/Others/No OS
Asus,Notebook,4,2.2,1914.75,0,0,236376.92,AMD cpu,1000,128,AMD,Windows
Asus,Gaming,32,4.7,12953.7,0,0,213149.14,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,2817.18,0,1,236376.92,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,1961.37,0,0,119661.8,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,3812.85,0,0,213149.14,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,2960.37,0,0,213149.14,Intel Core i7,1000,128,Nvidia,Linux/Others/No OS
Dell,Gaming,8,2.56,2927.07,0,0,236376.92,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,3593.07,1,1,265286.34,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,3280.05,0,0,236376.92,Intel Core i7,2000,128,AMD,Windows
HP,Notebook,8,2.04,1861.47,1,0,119661.8,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,16,3.6,9986.67,0,0,213149.14,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.49,2247.75,0,1,277254.12,Intel Core i5,500,0,Intel,Windows
Apple,Ultrabook,8,1.37,6793.2,0,1,492872.2,Intel Core i5,0,512,Intel,Mac
Dell,2 in 1 Convertible,8,2.08,2727.27,1,1,236376.92,Intel Core i7,1000,0,Intel,Windows
Asus,Gaming,16,4.3,5990.67,0,0,213149.14,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,1.68,1561.77,0,0,119661.8,AMD cpu,1000,0,AMD,Windows
Lenovo,2 in 1 Convertible,8,1.37,6157.17,1,1,265286.34,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,3.0,2337.66,0,1,213149.14,Intel Core i3,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.41,3160.17,0,0,277254.12,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.91,1484.847,0,0,119661.8,AMD cpu,0,128,AMD,Windows
HP,Notebook,16,2.9,3526.47,0,1,213149.14,Intel Core i7,1000,0,Nvidia,Windows
MSI,Gaming,16,4.14,8321.67,0,0,213149.14,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,2.0,5657.67,1,1,236376.92,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,8,2.8,3802.86,0,0,213149.14,Intel Core i7,1000,128,AMD,Windows
Lenovo,Notebook,4,2.2,1478.52,0,0,236376.92,Intel Core i3,0,256,Intel,Linux/Others/No OS
HP,Notebook,4,2.1,2404.26,0,1,236376.92,Intel Core i5,500,0,Intel,Windows
Dell,Notebook,4,2.18,2187.81,0,0,236376.92,Intel Core i5,1000,0,Intel,Windows
Dell,Notebook,8,2.24,1881.45,0,0,236376.92,Intel Core i5,1000,0,AMD,Windows
